n,Label,Shape,Material,Custom?,Shore 00 [/],Shore A [/],Shore D [/],"Gent, Shore A","Reuss, Shore A","Reuss, Shore D","Silicone, Shore 00","Silicone, Shore A","Silicone, Shore D",Modulus [Pa],Trials Recorded?,Radius [m],Notes
235,gel_big,Rectangular,Rubber,Y,50,,,,,,1.34E+05,,,1.34E+05,6,,
238,gel_double_wide,Rectangular,Rubber,Y,50,,,,,,1.34E+05,,,1.34E+05,8,,
167,gel,Rectangular,Rubber,Y,60,,,,,,2.75E+05,,,2.75E+05,5,,
282,fake_screw_mold,Rectangular,Rubber,Y,75,17.5,,6.37E+05,5.27E+05,,8.07E+05,4.16E+05,,8.07E+05,8,,
285,molded_rectangle,Rectangular,Rubber,Y,75,17.5,,6.37E+05,5.27E+05,,8.07E+05,4.16E+05,,8.07E+05,8,,
74,fake_bumpy_ball,Sphere,Rubber,Y,73,17.5,,6.37E+05,7.95E+05,,6.99E+05,4.16E+05,,6.99E+05,5,,
83,marshmallow,Cylinder,Food,,10,,,,,,7.59E+03,,,3.00E+04,5,,https://pubs.aip.org/aapt/pte/article-abstract/46/3/140/275147/Young-s-Modulus-of-a-Marshmallow?redirectedFrom=PDF
240,foam_sticker_stack,Cylinder,Rubber,,58,10,,4.10E+05,5.27E+05,,2.38E+05,2.77E+05,,2.38E+05,8,,
19,foam_banana,Cylinder,Foam,,30,,,,,,3.19E+04,,,3.00E+05,5,,"https://www.matweb.com/search/DataSheet.aspx?MatGUID=91d44cae736e4b36bcba94720654eeae, https://www.pg.gda.pl/mech/kim/AMS/022006/AMS02200605.pdf"
61,styrofoam_cylinder,Cylinder,Foam,,41.5,,,,,,7.28E+04,,,1.65E+06,5,,https://www.foambymail.com/polystyrene-foam-sheet.html
53,cork_black,Cylinder,Rubber,,88,53.5,7,2.63E+06,1.85E+06,2.01E+06,2.05E+06,2.92E+06,1.78E+07,6.10E+06,5,,https://www.matweb.com/search/datasheet.aspx?matguid=c680960fc38f488a991e1e04504092b4
63,rubber_washer_stack,Cylinder,Rubber,,95,66.5,15,4.25E+06,2.52E+06,2.43E+06,3.39E+06,5.89E+06,2.98E+07,6.10E+06,5,,https://www.matweb.com/search/datasheet.aspx?matguid=c680960fc38f488a991e1e04504092b4
203,rubber_rope,Cylinder,Rubber,,,78,,6.95E+06,5.27E+05,,,1.10E+07,,6.95E+06,8,,
204,rubber_rope_wide,Cylinder,Rubber,,,78,,6.95E+06,5.27E+05,,,1.10E+07,,6.95E+06,8,,
205,rubber_rope_thin,Cylinder,Rubber,,,78,,6.95E+06,5.27E+05,,,1.10E+07,,6.95E+06,5,,
84,black_donut_indenter,Cylinder,Rubber,,,62.5,15,3.65E+06,2.29E+06,2.43E+06,,4.75E+06,2.98E+07,8.30E+07,5,,https://www.precisionurethane.com/hardness-chart.html
52,cork,Cylinder,Wood,,,,,,,,,,,1.00E+08,5,,"https://www.sciencedirect.com/science/article/pii/S0264127523007918#:~:text=All%20these%20previous%20studies%20converge,%5D%2C%20%5B25%5D%2C%20%5B"
